Year,State,Election,Election_Type,Row_Type,Incumbent,party,candidate,votes,percentage
1960,Rhode Island,General election results,General,Candidate,False,Republican Party (US),Raoul Archambault Jr.,"124,408",31.10
1960,South Carolina,"South Carolina U.S. Senate Election, 1960",General,Winning,True,Democratic Party (United States),Strom Thurmond,"330,167",99.97%
1960,South Carolina,"South Carolina U.S. Senate Election, 1960",General,Write-in,False,,,102,0.03%
1960,South Carolina,"South Carolina U.S. Senate Election, 1960",General,Total,False,,,"330,269",100.0%
1960,South Dakota,1960 United States Senate election in South Dakota,General,Winning,False,Republican Party (United States),Karl E. Mundt (inc.),"160,181",52.44%
1960,South Dakota,1960 United States Senate election in South Dakota,General,Candidate,False,Democratic Party (United States),George McGovern,"145,261",47.56%
1960,Tennessee,General election results,General,Winning,True,Democratic Party (United States),Estes Kefauver,"594,460",71.75%
1960,Tennessee,General election results,General,Candidate,False,Republican Party (United States),A. Bradley Frazier,"234,053",28.25%
1960,Texas,1960 United States Senate election in Texas,General,Winning,True,Democratic Party (United States),Lyndon B. Johnson,"1,306,625",57.98%
1960,Texas,1960 United States Senate election in Texas,General,Candidate,False,Republican Party (United States),John Tower,"926,653",41.12%
1960,Texas,1960 United States Senate election in Texas,General,Total,False,,,"2,253,784",100.00%
1960,Virginia,"United States Senate election in Virginia, 1960",General,Winning,False,Democratic Party (United States),Absalom Willis Robertson (inc.),"506,169",81.27%
1960,Virginia,"United States Senate election in Virginia, 1960",General,Candidate,False,Independent Democrat,Stuart D. Baker,"88,718",14.24%
1960,Virginia,"United States Senate election in Virginia, 1960",General,Candidate,False,Social Democratic Party,Clarke T. Robb,"26,783",4.30%
1960,West Virginia,"United States Senate election in West Virginia, 1960",General,Winning,True,Democratic Party (United States),Jennings Randolph,"458,355",55.34%
1960,West Virginia,"United States Senate election in West Virginia, 1960",General,Candidate,False,Republican Party (United States),Cecil H. Underwood,"369,935",44.66%
1960,West Virginia,"United States Senate election in West Virginia, 1960",General,Total,False,,,"828,292",100.00%
1960,Wyoming,1960 United States Senate election in Wyoming,General,Winning,False,Republican Party (United States),Keith Thomson,"78,103",56.37%
1960,Wyoming,1960 United States Senate election in Wyoming,General,Candidate,False,Democratic Party (United States),Raymond B. Whitaker,"60,447",43.63%
