Year,State,Primary_Type,Poll_Source,Date,Date_Start,Date_End,Sample,MoE,Candidate,Party,Pct,Incumbent,Date_Original
2012,Pennsylvania,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Tom Smith,R,3%,False,"November 17–20, 2011"
2012,Pennsylvania,Republican Primary,Tribune-Review,2012-02-02 to 2012-02-06,2012-02-02,2012-02-06,500,4.4,Tom Smith,R,8%,False,"February 2–6, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2012-03-08 to 2012-03-11,2012-03-08,2012-03-11,564,4.1,Tom Smith,R,12%,False,"March 8–11, 2012"
2012,Pennsylvania,Republican Primary,Franklin & Marshall College,2012-03-20 to 2012-03-25,2012-03-20,2012-03-25,505,4.2,Tom Smith,R,9%,False,"March 20–25, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,John Vernon,R,1%,False,"November 17–20, 2011"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2011-11-17 to 2011-11-20,2011-11-17,2011-11-20,400,4.9,Steve Welch,R,1%,False,"November 17–20, 2011"
2012,Pennsylvania,Republican Primary,Tribune-Review,2012-02-02 to 2012-02-06,2012-02-02,2012-02-06,500,4.4,Steve Welch,R,1%,False,"February 2–6, 2012"
2012,Pennsylvania,Republican Primary,Public Policy Polling,2012-03-08 to 2012-03-11,2012-03-08,2012-03-11,564,4.1,Steve Welch,R,5%,False,"March 8–11, 2012"
2012,Pennsylvania,Republican Primary,Franklin & Marshall College,2012-03-20 to 2012-03-25,2012-03-20,2012-03-25,505,4.2,Steve Welch,R,1%,False,"March 20–25, 2012"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,Scott Avedisian,R,12%,False,"February 16–22, 2011"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,Donald Carcieri,R,44%,False,"February 16–22, 2011"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,Buddy Cianci,R,12%,False,"February 16–22, 2011"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,Giovanni Cicione,R,0%,False,"February 16–22, 2011"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,Allan Fung,R,6%,False,"February 16–22, 2011"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,John Loughlin,R,12%,False,"February 16–22, 2011"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,John Robitaille,R,12%,False,"February 16–22, 2011"
2012,Rhode Island,Republican Primary,Public Policy Polling,2011-02-16 to 2011-02-22,2011-02-16,2011-02-22,250,6.2,Catherine Taylor,R,2%,False,"February 16–22, 2011"
2012,Tennessee,Republican Primary,Public Policy Polling,2011-02-09 to 2011-02-13,2011-02-09,2011-02-13,400,4.9,Bob Corker,R,38%,True,"February 9–13, 2011"
2012,Tennessee,Republican Primary,Public Policy Polling,2011-02-09 to 2011-02-13,2011-02-09,2011-02-13,400,4.9,Bob Corker,R,50%,True,"February 9–13, 2011"
2012,Tennessee,Republican Primary,Public Policy Polling,2011-02-09 to 2011-02-13,2011-02-09,2011-02-13,400,4.9,Bob Corker,R,66%,True,"February 9–13, 2011"
2012,Tennessee,Republican Primary,Public Policy Polling,2011-02-09 to 2011-02-13,2011-02-09,2011-02-13,400,4.9,More conservative challenger,R,43%,False,"February 9–13, 2011"
2012,Tennessee,Republican Primary,Public Policy Polling,2011-02-09 to 2011-02-13,2011-02-09,2011-02-13,400,4.9,Marsha Blackburn,R,30%,False,"February 9–13, 2011"
2012,Tennessee,Republican Primary,Public Policy Polling,2011-02-09 to 2011-02-13,2011-02-09,2011-02-13,400,4.9,"Hank Williams, Jr.",R,13%,False,"February 9–13, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-01-14 to 2011-01-16,2011-01-14,2011-01-16,400,4.9,Ted Cruz,R,3%,False,"January 14–16, 2011"
2012,Texas,Republican Primary,UoT,2011-02-11 to 2011-02-17,2011-02-11,2011-02-17,374,5.07,Ted Cruz,R,3%,False,"February 11–17, 2011"
2012,Texas,Republican Primary,UoT,2011-05-11 to 2011-05-18,2011-05-11,2011-05-18,388,4.98,Ted Cruz,R,2%,False,"May 11–18, 2011"
2012,Texas,Republican Primary,Texas Lyceum,2011-05-24 to 2011-05-31,2011-05-24,2011-05-31,147,8.08,Ted Cruz,R,1%,False,"May 24–31, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-09-15 to 2011-09-18,2011-09-15,2011-09-18,400,4.9,Ted Cruz,R,12%,False,"September 15–18, 2011"
2012,Texas,Republican Primary,UoT,2011-10-19 to 2011-10-26,2011-10-19,2011-10-26,800,4.93,Ted Cruz,R,10%,False,"October 19–26, 2011"
2012,Texas,Republican Primary,Baselice & Associates,2011-10-31 to 2011-11-02,2011-10-31,2011-11-02,600,4.0,Ted Cruz,R,6%,False,"October 31 – November 2, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2012-01-12 to 2012-01-15,2012-01-12,2012-01-15,559,4.2,Ted Cruz,R,18%,False,"January 12–15, 2012"
2012,Texas,Republican Primary,UoT,2012-02-08 to 2012-02-15,2012-02-08,2012-02-15,366,5.12,Ted Cruz,R,27%,False,"February 8–15, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-04-19 to 2012-04-22,2012-04-19,2012-04-22,400,4.9,Ted Cruz,R,26%,False,"April 19–22, 2012"
2012,Texas,Republican Primary,DWBS,2012-04-27 to 2012-04-30,2012-04-27,2012-04-30,400,4.5,Ted Cruz,R,16%,False,"April 27–30, 2012"
2012,Texas,Republican Primary,UoT,2012-05,2012-05-01,2012-05-31,274,5.92,Ted Cruz,R,31%,False,May 2012
2012,Texas,Republican Primary,People Calling People,2012-05-15 to 2012-05-16,2012-05-15,2012-05-16,557,4.2,Ted Cruz,R,30%,False,"May 15–16, 2012"
2012,Texas,Republican Primary,Public Policy Polling,2012-05-22 to 2012-05-23,2012-05-22,2012-05-23,482,4.5,Ted Cruz,R,29%,False,"May 22–23, 2012"
2012,Texas,Republican Primary,DWBS,2011-06-04 to 2011-06-05,2011-06-04,2011-06-05,450,4.62,Ted Cruz,R,2%,False,"June 4–5, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-06-25 to 2011-06-27,2011-06-25,2011-06-27,400,4.9,Ted Cruz,R,11%,False,"June 25–27, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-01-14 to 2011-01-16,2011-01-14,2011-01-16,400,4.9,David Dewhurst,R,23%,False,"January 14–16, 2011"
2012,Texas,Republican Primary,UoT,2011-02-11 to 2011-02-17,2011-02-11,2011-02-17,374,5.07,David Dewhurst,R,27%,False,"February 11–17, 2011"
2012,Texas,Republican Primary,UoT,2011-05-11 to 2011-05-18,2011-05-11,2011-05-18,388,4.98,David Dewhurst,R,25%,False,"May 11–18, 2011"
2012,Texas,Republican Primary,Texas Lyceum,2011-05-24 to 2011-05-31,2011-05-24,2011-05-31,147,8.08,David Dewhurst,R,27%,False,"May 24–31, 2011"
2012,Texas,Republican Primary,Public Policy Polling,2011-09-15 to 2011-09-18,2011-09-15,2011-09-18,400,4.9,David Dewhurst,R,41%,False,"September 15–18, 2011"
