year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
1944,Alabama,AL,Washington,County,Norman Thomas,Socialist,0,0.0,1568,Democratic
1944,Alabama,AL,Wilcox,County,Franklin D. Roosevelt,Democratic,1209,97.42,1241,Democratic
1944,Alabama,AL,Wilcox,County,Thomas E. Dewey,Republican,30,2.42,1241,Democratic
1944,Alabama,AL,Wilcox,County,Claude A. Watson,Prohibition,2,0.16,1241,Democratic
1944,Alabama,AL,Wilcox,County,Norman Thomas,Socialist,0,0.0,1241,Democratic
1944,Alabama,AL,Winston,County,Franklin D. Roosevelt,Democratic,912,37.07,2460,Republican
1944,Alabama,AL,Winston,County,Thomas E. Dewey,Republican,1538,62.52,2460,Republican
1944,Alabama,AL,Winston,County,Claude A. Watson,Prohibition,10,0.41,2460,Republican
1944,Alabama,AL,Winston,County,Norman Thomas,Socialist,0,0.0,2460,Republican
1944,Arizona,AZ,Apache,County,Franklin D. Roosevelt,Democratic,1238,62.91,1968,Democratic
1944,Arizona,AZ,Apache,County,Thomas E. Dewey,Republican,728,36.99,1968,Democratic
1944,Arizona,AZ,Apache,County,Claude A. Watson,Prohibition,2,0.1,1968,Democratic
1944,Arizona,AZ,Cochise,County,Franklin D. Roosevelt,Democratic,6935,67.21,10319,Democratic
1944,Arizona,AZ,Cochise,County,Thomas E. Dewey,Republican,3371,32.67,10319,Democratic
1944,Arizona,AZ,Cochise,County,Claude A. Watson,Prohibition,13,0.13,10319,Democratic
1944,Arizona,AZ,Coconino,County,Franklin D. Roosevelt,Democratic,2236,55.51,4028,Democratic
1944,Arizona,AZ,Coconino,County,Thomas E. Dewey,Republican,1786,44.34,4028,Democratic
1944,Arizona,AZ,Coconino,County,Claude A. Watson,Prohibition,6,0.15,4028,Democratic
1944,Arizona,AZ,Gila,County,Franklin D. Roosevelt,Democratic,4818,67.79,7107,Democratic
1944,Arizona,AZ,Gila,County,Thomas E. Dewey,Republican,2260,31.8,7107,Democratic
1944,Arizona,AZ,Gila,County,Claude A. Watson,Prohibition,29,141.0,7107,Democratic
1944,Arizona,AZ,Graham,County,Franklin D. Roosevelt,Democratic,2393,67.43,3549,Democratic
1944,Arizona,AZ,Graham,County,Thomas E. Dewey,Republican,1151,32.43,3549,Democratic
1944,Arizona,AZ,Graham,County,Claude A. Watson,Prohibition,5,0.14,3549,Democratic
1944,Arizona,AZ,Greenlee,County,Franklin D. Roosevelt,Democratic,1956,72.34,2704,Democratic
1944,Arizona,AZ,Greenlee,County,Thomas E. Dewey,Republican,739,27.33,2704,Democratic
1944,Arizona,AZ,Greenlee,County,Claude A. Watson,Prohibition,9,0.33,2704,Democratic
1944,Arizona,AZ,Maricopa,County,Franklin D. Roosevelt,Democratic,32197,56.23,57258,Democratic
1944,Arizona,AZ,Maricopa,County,Thomas E. Dewey,Republican,24853,43.41,57258,Democratic
1944,Arizona,AZ,Maricopa,County,Claude A. Watson,Prohibition,208,0.36,57258,Democratic
1944,Arizona,AZ,Mohave,County,Franklin D. Roosevelt,Democratic,1303,57.05,2284,Democratic
