year,level,state,state_code,district,total_votes,candidate,party,votes,percentage,winner,incumbent,open_seat
2000,house,California,CA,39,219876,Ed Royce,Republican,129294,62.8,True,True,False
2000,house,California,CA,39,219876,Gill Kanel,Democratic,,31.5,False,False,False
2000,house,California,CA,39,219876,Ron Jevning,Natural Law,6597,3.2,False,False,False
2000,house,California,CA,39,219876,Keith Gann,Libertarian,,2.5,False,False,False
2000,house,California,CA,40,189651,Jerry Lewis,Republican,151069,80.0,True,True,False
2000,house,California,CA,40,189651,Jay Lindberg,Libertarian,18924,10.0,False,False,False
2000,house,California,CA,40,189651,Frank Schmit,Natural Law,,10.0,False,False,False
2000,house,California,CA,41,154973,Gary Miller,Republican,104695,59.0,True,True,False
2000,house,California,CA,41,154973,Rodolfo Favila,Democratic,,37.4,False,False,False
2000,house,California,CA,41,154973,David Kramer,Natural Law,6607,3.6,False,False,False
2000,house,California,CA,42,151577,Joe Baca,Democratic,90585,59.8,True,True,False
2000,house,California,CA,42,151577,Eli Pirozzi,Republican,53239,35.2,False,False,False
2000,house,California,CA,42,151577,John Ballard,Libertarian,,2.6,False,False,False
2000,house,California,CA,42,151577,Gwyn Hartley,Natural Law,3694,2.4,False,False,False
2000,house,California,CA,43,190332,Ken Calvert,Republican,140201,73.7,True,True,False
2000,house,California,CA,43,190332,Bill Reed,Libertarian,29755,15.6,False,False,False
2000,house,California,CA,43,190332,Nathaniel Adam,Natural Law,,10.7,False,False,False
2000,house,California,CA,44,209187,Mary Bono,Republican,123738,59.2,True,True,False
2000,house,California,CA,44,209187,Ron Oden,Democratic,79302,38.0,False,False,False
2000,house,California,CA,44,209187,Gene Smith,Reform,4135,1.9,False,False,False
2000,house,California,CA,44,209187,Jim Meuer,Natural Law,2012,0.9,False,False,False
2000,house,California,CA,45,232312,Dana Rohrabacher,Republican,136275,62.2,True,True,False
2000,house,California,CA,45,232312,Ted Crisell,Democratic,71066,32.4,False,False,False
2000,house,California,CA,45,232312,Don Hull,Libertarian,8409,3.8,False,False,False
2000,house,California,CA,45,232312,Constance Betton,Natural Law,3635,1.6,False,False,False
2000,house,California,CA,46,120875,Loretta Sanchez,Democratic,70381,60.3,True,True,False
2000,house,California,CA,46,120875,Gloria Matta Tuchman,Republican,40928,35.0,False,False,False
