state,state_code,district,district_note,at_large,map_vintage,is_current_map,years_used,n_years,d_share_mean,national_d_share_mean,pvi_pct,pvi_label,total_votes_mean,counties_whole,counties_partial,votes_from_partial_pct_max
California,CA,CA-17,,False,2000s,False,2004+2008+2012,3,67.55,51.5,14.14,D+14.1,175453,2,1,17.3
California,CA,CA-17,,False,2010s,False,2016+2020,2,79.47,51.71,26.94,D+26.9,137882,0,2,100.0
California,CA,CA-17,,False,2020s,True,2024,1,73.68,49.25,22.56,D+22.6,123506,0,2,100.0
California,CA,CA-18,,False,2000s,False,2004+2008+2012,3,49.09,51.5,3.52,D+3.5,156413,1,3,60.9
California,CA,CA-18,,False,2010s,False,2016+2020,2,78.65,51.71,26.94,D+26.9,375858,0,3,100.0
California,CA,CA-18,,False,2020s,True,2024,1,69.27,49.25,18.61,D+18.6,581105,1,3,95.2
California,CA,CA-19,,False,2000s,False,2004+2008+2012,3,44.7,51.5,-1.17,R+1.2,165635,2,3,79.5
California,CA,CA-19,,False,2010s,False,2016+2020,2,76.08,51.71,24.23,D+24.2,561285,0,1,100.0
California,CA,CA-19,,False,2020s,True,2024,1,70.15,49.25,20.75,D+20.8,352522,0,4,100.0
California,CA,CA-20,,False,2000s,False,2004+2008+2012,3,44.52,51.5,2.4,D+2.4,169211,1,2,81.2
California,CA,CA-20,,False,2010s,False,2016+2020,2,72.72,51.71,22.0,D+22.0,229624,2,1,25.2
California,CA,CA-20,,False,2020s,True,2024,1,40.32,49.25,-8.93,R+8.9,330196,0,4,100.0
California,CA,CA-21,,False,2000s,False,2004+2008+2012,3,44.34,51.5,-5.85,R+5.8,242495,1,1,58.4
California,CA,CA-21,,False,2010s,False,2016+2020,2,49.4,51.71,-2.09,R+2.1,272216,1,3,85.8
California,CA,CA-21,,False,2020s,True,2024,1,44.95,49.25,-1.62,R+1.6,37352,0,2,100.0
California,CA,CA-22,,False,2000s,False,2004+2008+2012,3,57.82,51.5,4.35,D+4.3,726338,0,3,100.0
California,CA,CA-22,,False,2010s,False,2016+2020,2,49.89,51.71,-2.3,R+2.3,43150,0,2,100.0
California,CA,CA-22,,False,2020s,True,2024,1,39.0,49.25,-7.59,R+7.6,138471,0,3,100.0
California,CA,CA-23,,False,2000s,False,2004+2008+2012,3,55.33,51.5,6.11,D+6.1,66533,0,3,100.0
California,CA,CA-23,,False,2010s,False,2016+2020,2,55.8,51.71,1.44,D+1.4,488372,0,3,100.0
California,CA,CA-23,,False,2020s,True,2024,1,54.74,49.25,0.66,D+0.7,1003556,0,3,100.0
California,CA,CA-24,,False,2000s,False,2004+2008+2012,3,54.35,51.5,1.43,D+1.4,442955,0,2,100.0
California,CA,CA-24,,False,2010s,False,2016+2020,2,60.98,51.71,9.06,D+9.1,513684,2,1,35.0
California,CA,CA-24,,False,2020s,True,2024,1,60.72,49.25,12.26,D+12.3,308422,1,2,40.1
California,CA,CA-25,,False,2000s,False,2004+2008+2012,3,66.05,51.5,6.14,D+6.1,1434657,2,2,99.1
California,CA,CA-25,,False,2010s,False,2016+2020,2,74.28,51.71,19.1,D+19.1,1564809,0,2,100.0
California,CA,CA-25,,False,2020s,True,2024,1,49.31,49.25,2.51,D+2.5,832142,1,2,93.5
California,CA,CA-26,,False,2000s,False,2004+2008+2012,3,68.32,51.5,8.51,D+8.5,388317,0,2,100.0
California,CA,CA-26,,False,2010s,False,2016+2020,2,60.14,51.71,8.68,D+8.7,196736,0,1,100.0
California,CA,CA-26,,False,2020s,True,2024,1,57.78,49.25,8.09,D+8.1,355395,0,1,100.0
California,CA,CA-27,,False,2000s,False,2004+2008+2012,3,68.66,51.5,13.49,D+13.5,117445,0,1,100.0
California,CA,CA-27,,False,2010s,False,2016+2020,2,74.38,51.71,22.49,D+22.5,649888,0,1,100.0
California,CA,CA-27,,False,2020s,True,2024,1,67.01,49.25,12.67,D+12.7,1403098,0,1,100.0
California,CA,CA-28,,False,2000s,False,2004+2008+2012,3,68.66,51.5,14.6,D+14.6,60310,0,1,100.0
California,CA,CA-28,,False,2010s,False,2016+2020,2,74.38,51.71,22.96,D+23.0,207656,0,1,100.0
California,CA,CA-28,,False,2020s,True,2024,1,66.76,49.25,17.03,D+17.0,547856,0,2,100.0
California,CA,CA-29,,False,2000s,False,2004+2008+2012,3,68.66,51.5,13.75,D+13.8,79355,0,1,100.0
California,CA,CA-29,,False,2010s,False,2016+2020,2,74.38,51.71,22.67,D+22.7,88446,0,1,100.0
California,CA,CA-29,,False,2020s,True,2024,1,67.01,49.25,18.82,D+18.8,120051,0,1,100.0
California,CA,CA-30,,False,2000s,False,2004+2008+2012,3,68.66,51.5,13.47,D+13.5,222194,0,1,100.0
California,CA,CA-30,,False,2010s,False,2016+2020,2,74.2,51.71,22.28,D+22.3,124605,0,2,100.0
California,CA,CA-30,,False,2020s,True,2024,1,67.01,49.25,18.35,D+18.4,165070,0,1,100.0
California,CA,CA-31,,False,2000s,False,2004+2008+2012,3,68.66,51.5,14.06,D+14.1,31742,0,1,100.0
California,CA,CA-31,,False,2010s,False,2016+2020,2,55.57,51.71,5.11,D+5.1,8232,0,1,100.0
California,CA,CA-31,,False,2020s,True,2024,1,67.01,49.25,15.47,D+15.5,195083,0,1,100.0
California,CA,CA-32,,False,2000s,False,2004+2008+2012,3,68.66,51.5,12.65,D+12.7,73007,0,1,100.0
California,CA,CA-32,,False,2010s,False,2016+2020,2,74.38,51.71,21.96,D+22.0,119210,0,1,100.0
California,CA,CA-32,,False,2020s,True,2024,1,67.01,49.25,17.63,D+17.6,270115,0,1,100.0
California,CA,CA-33,,False,2000s,False,2004+2008+2012,3,68.66,51.5,14.48,D+14.5,38090,0,1,100.0
California,CA,CA-33,,False,2010s,False,2016+2020,2,74.38,51.71,22.12,D+22.1,273030,0,1,100.0
California,CA,CA-33,,False,2020s,True,2024,1,48.9,49.25,3.09,D+3.1,6863,0,1,100.0
California,CA,CA-34,,False,2000s,False,2004+2008+2012,3,68.66,51.5,16.22,D+16.2,44439,0,1,100.0
California,CA,CA-34,,False,2010s,False,2016+2020,2,74.38,51.71,22.67,D+22.7,46146,0,1,100.0
California,CA,CA-34,,False,2020s,True,2024,1,67.01,49.25,17.76,D+17.8,45019,0,1,100.0
California,CA,CA-35,,False,2000s,False,2004+2008+2012,3,68.66,51.5,16.01,D+16.0,44439,0,1,100.0
California,CA,CA-35,,False,2010s,False,2016+2020,2,70.92,51.71,19.48,D+19.5,28311,0,2,100.0
California,CA,CA-35,,False,2020s,True,2024,1,62.62,49.25,12.1,D+12.1,29731,0,3,100.0
California,CA,CA-36,,False,2000s,False,2004+2008+2012,3,68.66,51.5,12.09,D+12.1,57135,0,1,100.0
California,CA,CA-36,,False,2010s,False,2016+2020,2,53.46,51.71,3.08,D+3.1,721232,0,1,100.0
California,CA,CA-36,,False,2020s,True,2024,1,67.01,49.25,18.47,D+18.5,90038,0,1,100.0
California,CA,CA-37,,False,2000s,False,2004+2008+2012,3,68.66,51.5,15.66,D+15.7,57135,0,1,100.0
California,CA,CA-37,,False,2010s,False,2016+2020,2,74.38,51.71,25.18,D+25.2,53836,0,1,100.0
California,CA,CA-37,,False,2020s,True,2024,1,67.01,49.25,17.76,D+17.8,48771,0,1,100.0
California,CA,CA-38,,False,2000s,False,2004+2008+2012,3,68.66,51.5,12.81,D+12.8,82529,0,1,100.0
California,CA,CA-38,,False,2010s,False,2016+2020,2,74.38,51.71,22.67,D+22.7,96138,0,1,100.0
California,CA,CA-38,,False,2020s,True,2024,1,65.51,49.25,14.5,D+14.5,145233,0,2,100.0
California,CA,CA-39,,False,2000s,False,2004+2008+2012,3,68.66,51.5,11.07,D+11.1,50787,0,1,100.0
California,CA,CA-39,,False,2010s,False,2016+2020,2,59.98,51.71,6.88,D+6.9,228057,0,3,100.0
California,CA,CA-39,,False,2020s,True,2024,1,49.35,49.25,2.68,D+2.7,36717,0,1,100.0
California,CA,CA-40,,False,2000s,False,2004+2008+2012,3,45.0,51.5,-3.92,R+3.9,141891,0,1,100.0
California,CA,CA-40,,False,2010s,False,2016+2020,2,74.38,51.71,22.98,D+23.0,53836,0,1,100.0
California,CA,CA-40,,False,2020s,True,2024,1,51.36,49.25,0.04,EVEN,603171,0,2,100.0
California,CA,CA-41,,False,2000s,False,2004+2008+2012,3,50.1,51.5,0.29,D+0.3,404707,0,2,100.0
California,CA,CA-41,,False,2010s,False,2016+2020,2,53.46,51.71,3.69,D+3.7,38700,0,1,100.0
