year,map_vintage,state,state_code,district,district_note,at_large,statewide_baseline,races_used,offices_used,senate_races,statewide_races,stateleg_races,d_votes,r_votes,other_votes,total_votes,d_share_two_party_pct,r_share_two_party_pct,national_d_share_two_party_pct,lean_pct,lean_label,lean_house_pct,lean_statewide_pct,lean_senate_pct,weight_house,weight_statewide,weight_senate,sources_used
2006,2000s,California,CA,CA-18,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,1.86,D+1.9,4.08,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-19,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-6.83,R+6.8,-21.99,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-20,,False,True,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,0.75,D+0.7,,-4.31,5.81,0.0,0.5,0.5,statewide+senate
2006,2000s,California,CA,CA-21,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-9.64,R+9.6,-30.43,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-22,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-10.2,R+10.2,-32.1,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-23,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,1.76,D+1.8,3.77,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-24,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.31,R+7.3,-23.43,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-25,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-7.55,R+7.6,-24.16,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-26,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,-6.65,R+6.7,-21.45,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
2006,2000s,California,CA,CA-27,,False,False,91,senate; governor; state senate; state house,1,1,89,14147418,12588691,1134587,27870696,52.92,47.08,52.9,2.96,D+3.0,7.37,-4.31,5.81,0.334,0.333,0.333,house+statewide+senate
